Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
03/21/2021,03/22/2021,"CITY OF CAPITOLA 420 CAPITOLA AVE CAPITOLA 95010 CA USA","City of Capitola","Govt-services-parking","Purchase","1.50"
03/19/2021,03/20/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","35.80"
03/17/2021,03/18/2021,"AMARIN THAI SAN JOSE 5205 PROSPECT RD #110 SAN JOSE 95129 CA USA","Amarin Thai Cuisine","Restaurants","Purchase","49.12"
03/15/2021,03/17/2021,"CRATE&BARREL #404 232 SANTANA ROW SANTA CLARA 95050 CA USA","Crate and Barrel","Other","Purchase","196.44"
03/14/2021,03/15/2021,"WHOLEFDS CBL 10033 1690 S BASCOM AVE CAMPBELL 95008 CA USA","Whole Foods Market","Grocery","Purchase","25.35"
03/14/2021,03/15/2021,"GRUBHUBSPICEUPKABABSB 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","69.00"
03/13/2021,03/15/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","15.57"
03/13/2021,03/15/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","40.87"
03/13/2021,03/15/2021,"6 TO LATE 5 2051 SCOTT ST SAN JOSE 95128 CA USA","6 To Late","Alcohol","Purchase","33.67"
03/11/2021,03/13/2021,"TSP*POWER SMOKELES 2620 WESTVIEW DRIVE 973-2875108 19610 PA USA","Tsp*Power Smokeles","Other","Purchase","15.99"
03/11/2021,03/13/2021,"PIZZA HUT #032516 226 W. ALMA AVE. #40 1111111111 95110 CA USA","Pizza Hut","Restaurants","Purchase","19.65"
03/11/2021,03/12/2021,"6 TO LATE 5 2051 SCOTT ST SAN JOSE 95128 CA USA","6 To Late","Alcohol","Purchase","6.37"
03/11/2021,03/12/2021,"RAMEN TAKA 2219 THE ALAMEDA SANTA CLARA 95050 CA USA","Ramen Taka","Restaurants","Purchase","33.63"
03/09/2021,03/10/2021,"AMZN MKTP US*DQ0NP0G03440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","56.77"
03/07/2021,03/09/2021,"THE HOME DEPOT #0642 480 E HAMILTON AVE CAMPBELL 950080000 CA USA","Home Depot","Other","Purchase","30.50"
03/07/2021,03/08/2021,"SQ *KELLY'S DELI HOME 480 E HAMILTON AVE CAMPBELL 95008 CA USA","Kelly's Deli","Restaurants","Purchase","25.13"
03/06/2021,03/08/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","25.02"
03/07/2021,03/08/2021,"SQ *BAREBOTTLE BREWING2520 AUGUSTINE DRIVE SANTA CLARA 95054 CA USA","Barebottle Brewing","Grocery","Purchase","49.19"
03/07/2021,03/08/2021,"GRUBHUBGHPLUS 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","10.94"
03/05/2021,03/06/2021,"SQ *ACHILLES 2521 NEWHALL ST SANTA CLARA 95050 CA USA","Achilles","Restaurants","Purchase","18.59"
03/05/2021,03/05/2021,"CHILI'S 1278 ECOMM 543 COLEMAN AVENUE 8009834637 95110 CA USA","Chili's 1278 Ecomm","Restaurants","Purchase","60.30"
03/04/2021,03/04/2021,"POPEYES 12925 1570 W SAN CARLOS ST 4089756230 95126 CA USA","Popeyes","Restaurants","Purchase","14.40"
03/01/2021,03/02/2021,"LAKSHMI BAZAAR 5178 MOORPARK AVE SAN JOSE 95129 CA USA","Lakshmi Bazaar","Grocery","Purchase","16.97"
02/27/2021,03/02/2021,"TARGET.COM * 7000 TARGET PARKWAY 800-591-3869 55445 MN USA","Target","Other","Purchase","65.54"
03/01/2021,03/02/2021,"SUPERCUTS SAN CARLOS C1735 W. SAN CARLOS ST. SAN JOSE 95128 CA USA","Supercuts","Other","Purchase","20.00"
02/27/2021,03/01/2021,"HARRYS HOFBRAU REDWOOD1909 EL CAMINO REAL REDWOOD CITY 94063 CA USA","Harry's Hofbrau","Restaurants","Purchase","45.70"
02/27/2021,03/01/2021,"MADRAS CAFE 1177 W EL CAMINO REAL SUNNYVALE 94087 CA USA","Madras Cafe","Restaurants","Purchase","25.04"
02/27/2021,03/01/2021,"5989.9520.6106 IKEA US9930 FRANKLIN SQUARE DRI 8884344532 21236 MD USA","IKEA","Other","Purchase","1029.62"
02/27/2021,03/01/2021,"WESTELM.COM 3250 VAN NESS AVE 866-937-8356 94109 CA USA","West Elm","Other","Purchase","1419.16"
