Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
02/07/2021,02/08/2021,"IN N OUT BURGER 240 1140 NEWHALL ST SAN JOSE 95126 CA USA","In-N-Out Burger","Restaurants","Purchase","21.63"
02/06/2021,02/08/2021,"SUSHI CONFIDENTIAL CAM247 E CAMPBELL AVE CAMPBELL 95008 CA USA","Sushi Confidential","Restaurants","Purchase","68.90"
02/06/2021,02/06/2021,"LYFT *RIDE FRI 9PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","14.71"
02/06/2021,02/06/2021,"LYFT *RIDE FRI 7PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","14.57"
02/04/2021,02/05/2021,"SLIDERS BURGER 1645 W SAN CARLOS ST SAN JOSE 95128 CA USA","Sliders","Restaurants","Purchase","17.75"
02/05/2021,02/05/2021,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.55"
02/04/2021,02/05/2021,"BEST BUY 000085163090 STEVENS CREEK BVD SAN JOSE 95128 CA USA","Best Buy","Other","Purchase","-54.60"
02/03/2021,02/04/2021,"PANDA EXPRESS #838 925 BLOSSOM HILL RD. SAN JOSE 95123 CA USA","Panda Express","Restaurants","Purchase","21.00"
02/03/2021,02/04/2021,"GAMESTOP WESTPORT PARKWAY 817-422-2085 76051 TX USA","GameStop","Entertainment","Purchase","32.76"
02/03/2021,02/04/2021,"CHEVRON 0095954 10023 S. DE ANZA BLVD CUPERTINO 95014 CA USA","Chevron","Gas","Purchase","53.77"
02/02/2021,02/03/2021,"RAMEN TAKA 2219 THE ALAMEDA SANTA CLARA 95050 CA USA","Ramen Taka","Restaurants","Purchase","43.59"
02/02/2021,02/03/2021,"SAFEWAY #1476 1300 W. SAN CARLOS ST. SAN JOSE 95126 CA USA","Safeway","Grocery","Purchase","38.56"
02/01/2021,02/02/2021,"BESTBUYCOM8064195536797601 PENN AVE 888-BESTBUY 55423 MN USA","Best Buy","Other","Purchase","54.60"
02/01/2021,02/02/2021,"BESTBUYCOM8064195536797601 PENN AVE 888-BESTBUY 55423 MN USA","Best Buy","Other","Purchase","65.53"
01/31/2021,02/02/2021,"PRINGLESOFT.COM 2038 W GENEVA RD 605-220-5955 60615 IL USA","pringlesoft.com","Other","Purchase","23.00"
01/31/2021,02/01/2021,"SAFEWAY #1465 5146 STEVENS CREEK BLVD SAN JOSE 95129 CA USA","Safeway","Grocery","Purchase","10.95"
01/30/2021,02/01/2021,"SP * HUMBLE SEA 820 SWIFT ST. SANTA CRUZ 95060 CA USA","Humble Sea","Alcohol","Purchase","47.08"
01/30/2021,02/01/2021,"SP * HUMBLE SEA 820 SWIFT ST. SANTA CRUZ 95060 CA USA","Humble Sea","Alcohol","Purchase","68.50"
